Store Name,Description,Department,Qty Sold,Cost,Retail,Total Retail,Margin,Profit
CHEYENNE   LLC,PALLSAV RED KS BOX,CIGARETTES,35,8.01,8.45,293.89,5.23,15.47
CHEYENNE   LLC,BN REG,FRITO LAYS,35,2.00,2.99,104.65,33.11,34.65
CHEYENNE   LLC,CT CRY,FRITO LAYS,35,1.88,2.69,94.15,30.11,28.35
CHEYENNE   LLC,BON APPETIT BLUEBERRY CR,BAKERY & PASTRY,35,1.87,3.19,111.65,41.42,46.25
CHEYENNE   LLC,CHEDDAR MILD STIX 1 OZ SA,REFRIGERATED,35,0.46,0.89,31.15,48.74,15.18
CHEYENNE   LLC,EL MONT. BURRITO SPICY BF,FROZEN,35,1.49,2.99,104.65,50.14,52.47
CHEYENNE   LLC,DR PEPPER CREAM SODA ZERO 20 OZ,BEVERAGE : STANDARD,35,1.44,2.99,104.65,52.01,54.43
CHEYENNE   LLC,ICE BAG LARGE 16 LB,EXTERIOR : ICE,35,2.80,4.99,174.65,43.89,76.65
CHEYENNE   LLC,XHALE LIVE RESIN LIQUID DIAMONDS 2G DISPOSABLE VAPE PEN CASE BLUE DREAM  (SATIVA),SMOKE SHOP,35,9.99,19.99,699.65,50.03,350.00
CHEYENNE   LLC,ALKALINE ANTIOXIDANT SMARTWATER	700ML,BEVERAGE : STANDARD,35,1.36,2.99,104.65,54.52,57.05
CHEYENNE   LLC,BODYARMOR SPORTS WATER 1.5 LTR,BEVERAGE : STANDARD,35,1.75,3.49,122.15,49.86,60.90
CHEYENNE   LLC,HOSTESS DONETTES CRUNCH 9,BAKERY & PASTRY,35,3.29,5.69,199.15,42.12,83.88
COLFAX   LLC,Red Bull Summer Edition Energy Drink - 12 Fl Oz Can,BEVERAGE : STANDARD,35,2.07,3.99,139.65,48.10,67.17
COLFAX   LLC,CHORE BOY COPPER PAD,,35,1.49,1.49,70.65,0.00,0.00
LITTLETON   LLC,MDEW BAJA BLAST 20 OZ,BEVERAGE : STANDARD,35,1.61,2.99,104.65,46.14,48.29
LITTLETON   LLC,CAMEL FILTER BOX,CIGARETTES,35,10.27,10.41,362.36,1.34,4.86
LITTLETON   LLC,RED BULL SUMMER/ AMBER LS 12 OZ,BEVERAGE : STANDARD,35,2.07,3.99,139.65,48.10,67.17
LITTLETON   LLC,WHITE CLAW BLACKBERRY  19.2 OZ,BEER,35,2.65,4.59,160.65,42.18,67.76
LITTLETON   LLC,CROSSWORD MULTIPLIER,LOTTERY,35,3.00,3.00,105.00,0.00,0.00
LITTLETON   LLC,NOS HIGH PERFORMANCE ENERGY 16 OZ,BEVERAGE : STANDARD,35,1.72,3.59,123.05,52.00,65.33
LITTLETON   LLC,CELSIUS FUJI APPLE PEAR 12 OZ,BEVERAGE : STANDARD,35,1.52,2.99,104.65,49.14,51.42
LITTLETON   LLC,CELSIUS PEACH VIBE 12 OZ,BEVERAGE : STANDARD,35,1.52,2.99,104.65,49.14,51.42
